exp,r1_s1,r2_s1,r3_s1,avg_s1,std_s1,unit_s1,r1_s2,r2_s2,r3_s2,avg_s2,std_s2,unit_s2
th-1,999.54,999.54,999.54,999.54,0,Mbps,,,,,,
th-2,499.91,499.91,499.91,499.91,0,Mbps,499.91,499.91,499.91,499.91,0,Mbps
th-3,999.54,999.54,999.54,999.54,0,Mbps,,,,,,
th-4,499.91,499.91,499.91,499.91,0,Mbps,499.91,499.91,499.91,499.91,0,Mbps
th-5,499.91,499.91,499.91,499.91,0,Mbps,499.91,499.91,499.91,499.91,0,
afct_1,0.442377,0.442377,0.442377,0.442377,0,seconds,,,,,,seconds
afct_2,0.884513,0.884513,0.884513,0.884513,0,seconds,0.884513,0.884513,0.884513,0.884513,0,seconds
afct_3,0.442377,0.442377,0.442377,0.442377,0,seconds,,,,,,seconds
afct_4,0.884513,0.884513,0.884513,0.884513,0,seconds,0.884513,0.884513,0.884513,0.884513,0,seconds
afct_5,0.884513,0.884513,0.884513,0.884513,0,seconds,0.884513,0.884513,0.884513,0.884513,0,seconds